abdominal	abdominalt
abessinsk	abessinsk
abiotisk	abiotisk
abkhasisk	abkhasisk
abnorm	abnormt
abrupt	abrupt
absolutt	absolutt
absorptiv	absorptivt
abstinent	abstinent
abstrakt	abstrakt
absurd	absurd
abyssal	abyssalt
adaptiv	adaptivt
adderbar	adderbart
additiv	additivt
adekvat	adekvat
adelig	adelig
adenoid	adenoid
adonisk	adonisk
adoptiv	adoptivt
adskillig	adskillig
adskilt	adskilt
adspredt	adspredt
adstadig	adstadig
advarende	advarende
adverbial	adverbialt
aerob	aerobt
afatisk	afatisk
affektert	affektert
affektiv	affektivt
afghansk	afghansk
afrikansk	afrikansk
afro	afro
agelaus	agelaust
agelig	agelig
ageløs	ageløst
aggressiv	aggressivt
agnatisk	agnatisk
agnostisk	agnostisk
agrar	agrart
agrarisk	agrarisk
akademisk	akademisk
akkadisk	akkadisk
akrostisk	akrostisk
aksdannet	aksdannet
akselbred	akselbredt
akselbrei	akselbreit
aksial	aksialt
akslebred	akslebredt
akslebrei	akslebreit
akta	akta
akterlig	akterlig
akterst	akterst
aktet	aktet
aktiv	aktivt
aktsom	aktsomt
aktuell	aktuelt
aktverdig	aktverdig
akustisk	akustisk
akutt	akutt
akvatisk	akvatisk
alaskisk	alaskisk
albansk	albansk
albin	albint
albuelang	albuelangt
aldrende	aldrende
aleutisk	aleutisk
algerisk	algerisk
alifatisk	alifatisk
alikvant	alikvant
alikvot	alikvot
alkalisk	alkalisk
alkefull	alkefullt
alkoman	alkomant
allehånde	allehånde
allel	allelt
allergisk	allergisk
alliert	alliert
allmektig	allmektig
allmenn	allment
allotrop	allotropt
allround	allround
allsidig	allsidig
allslags	allslags
allsvensk	allsvensk
alltysk	alltysk
alluvial	alluvialt
alpin	alpint
alpinsk	alpinsk
alsasisk	alsasisk
alskens	alskens
altaisk	altaisk
altetende	altetende
alveolar	alveolart
alvorlig	alvorlig
ambiguøs	ambiguøst
ambisiøs	ambisiøst
ambrosisk	ambrosisk
ambulant	ambulant
amfibisk	amfibisk
amharisk	amharisk
amorf	amorft
amorøs	amorøst
amper	ampert
amøbisk	amøbisk
amøboid	amøboid
anabol	anabolt
anabolsk	anabolsk
anaerob	anaerobt
anaforisk	anaforisk
anarkisk	anarkisk
anatomisk	anatomisk
anbrukken	anbrukket
anbrukket	anbrukket
andektig	andektig
andinsk	andinsk
andpusten	andpustent
androgen	androgent
androgyn	androgynt
anemisk	anemisk
anemofil	anemofilt
anerkjent	anerkjent
angerfri	angerfritt
angerfull	angerfullt
angivelig	angivelig
angiversk	angiversk
anglofil	anglofilt
angolansk	angolansk
angrende	angrende
angstfull	angstfullt
angstfylt	angstfylt
angstridd	angstridd
angulær	angulært
animal	animalt
animalsk	animalsk
animat	animat
animert	animert
ankeldjup	ankeldjupt
ankeldyp	ankeldypt
ankellang	ankellangt
ankelsid	ankelsidt
anlagt	anlagt
anløpen	anløpent
anløpt	anløpt
annen	annet
annleis	annleis
annuell	annuelt
anodisk	anodisk
anomal	anomalt
anonym	anonymt
anormal	anormalt
ansatt	ansatt
anselig	anselig
ansett	ansett
anskreven	anskrevet
anskrevet	anskrevet
anskuelig	anskuelig
anspent	anspent
anstendig	anstendig
anstrengt	anstrengt
anstrøken	anstrøket
anstrøket	anstrøket
ansvarlig	ansvarlig
antagelig	antagelig
antakelig	antakelig
antennbar	antennbart
anti	anti
antigen	antigent
antikk	antikt
antikvert	antikvert
antitysk	antitysk
antiviral	antiviralt
antonym	antonymt
antrukket	antrukket
anvendbar	anvendbart
apalgrå	apalgrått
aparte	aparte
apatisk	apatisk
apikal	apikalt
apokryf	apokryft
apolitisk	apolitisk
apollinsk	apollinsk
apriorisk	apriorisk
apsidal	apsidalt
arabisk	arabisk
arameisk	arameisk
arbeidsom	arbeidsomt
arbitrær	arbitrært
arid	arid
arisk	arisk
arkadisk	arkadisk
arkaisk	arkaisk
arktisk	arktisk
armlaus	armlaust
armløs	armløst
armodslig	armodslig
aromatisk	aromatisk
arret	arret
arrete	arrete
arrig	arrig
arrogant	arrogant
arteriell	arterielt
artesisk	artesisk
artig	artig
artistisk	artistisk
artsrik	artsrikt
arvbåren	arvbårent
arvelaus	arvelaust
arvelig	arvelig
arveløs	arveløst
asbestfri	asbestfritt
aseptisk	aseptisk
aset	aset
asete	asete
asiansk	asiansk
asiatisk	asiatisk
askeblond	askeblondt
askefast	askefast
askegrå	askegrått
asketisk	asketisk
asomatisk	asomatisk
asorisk	asorisk
asosial	asosialt
assyrisk	assyrisk
astenisk	astenisk
astmasyk	astmasykt
astmatisk	astmatisk
astral	astralt
asurblå	asurblått
asyklisk	asyklisk
asynkron	asynkront
atal	atalt
atensk	atensk
athensk	athensk
atlantisk	atlantisk
atletisk	atletisk
atoksisk	atoksisk
atomar	atomart
atomfri	atomfritt
atomær	atomært
atonal	atonalt
atonisk	atonisk
atopisk	atopisk
atrofisk	atrofisk
atskillig	atskillig
atskilt	atskilt
atspredt	atspredt
attendels	attendels
attenårig	attenårig
attenårs	attenårs
attisk	attisk
attraktiv	attraktivt
atypisk	atypisk
audiofil	audiofilt
auditiv	auditivt
auret	auret
aurete	aurete
austlig	austlig
austnorsk	austnorsk
australsk	australsk
austre	austre
austtysk	austtysk
austvendt	austvendt
autarkisk	autarkisk
autentisk	autentisk
autistisk	autistisk
autogen	autogent
autonom	autonomt
autoritær	autoritært
avansert	avansert
avarisk	avarisk
avbaklig	avbaklig
avbeita	avbeita
avbeitet	avbeitet
avbleika	avbleika
avbleiket	avbleiket
avbleikt	avbleikt
avbleka	avbleka
avbleket	avbleket
avblekt	avblekt
avbrent	avbrent
avbrukken	avbrukket
avbrukket	avbrukket
avdanka	avdanka
avdanket	avdanket
avdelt	avdelt
avdempa	avdempa
avdempet	avdempet
avfalma	avfalma
avfalmet	avfalmet
avfarende	avfarende
avfeldig	avfeldig
avførende	avførende
avgivende	avgivende
avgjort	avgjort
avglemt	avglemt
avglømt	avglømt
avgående	avgående
avgått	avgått
avhengig	avhengig
avhogd	avhogd
avholdt	avholdt
avhoppet	avhoppet
avhugd	avhugd
aviatisk	aviatisk
avindsjuk	avindsjukt
avindsyk	avindsykt
avkappa	avkappa
avkappet	avkappet
avkledd	avkledd
avklippa	avklippa
avklippet	avklippet
avklipt	avklipt
avkokt	avkokt
avkutta	avkutta
avkuttet	avkuttet
avlagt	avlagt
avlang	avlangt
avleggs	avleggs
avlesbar	avlesbart
avlåst	avlåst
avmagra	avmagra
avmagret	avmagret
avmektig	avmektig
avmålt	avmålt
avrevet	avrevet
avsaga	avsaga
avsagd	avsagd
avsaget	avsaget
avsides	avsides
avsilt	avsilt
avsindig	avsindig
avsjela	avsjela
avsjelet	avsjelet
avsjelt	avsjelt
avskalla	avskalla
avskallet	avskallet
avskjerma	avskjerma
avskoga	avskoga
avskoget	avskoget
avskrapa	avskrapa
avskrapet	avskrapet
avskrapt	avskrapt
avskyelig	avskyelig
avskåren	avskåret
avskåret	avskåret
avslappa	avslappa
avslappet	avslappet
avslepen	avslepent
avslitt	avslitt
avslått	avslått
avsnørt	avsnørt
avsondra	avsondra
avsondret	avsondret
avspent	avspent
avstengt	avstengt
avstressa	avstressa
avstumpa	avstumpa
avstumpet	avstumpet
avsvidd	avsvidd
avtagbar	avtagbart
avtagende	avtagende
avtakbar	avtakbart
avtakende	avtakende
avundsjuk	avundsjukt
avundsyk	avundsykt
avvikende	avvikende
avvisende	avvisende
aztekisk	aztekisk
babelsk	babelsk
bablet	bablet
bablete	bablete
babord	babord
babylonsk	babylonsk
badeglad	badeglad
bahamansk	bahamansk
bahrainsk	bahrainsk
bakbundet	bakbundet
bakerst	bakerst
bakfull	bakfullt
bakglatt	bakglatt
bakket	bakket
bakkete	bakkete
baktung	baktungt
bakvendt	bakvendt
balkansk	balkansk
balsamisk	balsamisk
balstyren	balstyrent
balstyrig	balstyrig
baltisk	baltisk
bamsete	bamsete
bange	bange
bankefast	bankefast
bankerott	bankerott
bararma	bararma
bararmet	bararmet
barbadisk	barbadisk
barbarisk	barbarisk
barbeint	barbeint
barbent	barbent
bardus	bardus
barfota	barfota
barfotet	barfotet
barføtt	barføtt
barhalset	barhalset
barhoda	barhoda
barhodet	barhodet
barka	barka
barket	barket
barlegga	barlegga
barlegget	barlegget
barmfager	barmfagert
barnaktig	barnaktig
barnefødt	barnefødt
barnekjær	barnekjært
barnerik	barnerikt
barnlaus	barnlaust
barnlig	barnlig
barnslig	barnslig
barntung	barntungt
barokk	barokt
barsk	barskt
basal	basalt
basaltisk	basaltisk
basisk	basisk
baskisk	baskisk
bastant	bastant
bayersk	bayersk
beboelig	beboelig
bebrilla	bebrilla
bebrillet	bebrillet
bedaga	bedaga
bedagelig	bedagelig
bedaget	bedaget
bederva	bederva
bedervet	bedervet
bedre	bedre
bedrøva	bedrøva
bedrøvet	bedrøvet
bedugga	bedugga
bedugget	bedugget
bedårende	bedårende
befaren	befarent
befengt	befengt
beferda	beferda
beferdet	beferdet
befippa	befippa
befippet	befippet
befriende	befriende
beføya	beføya
beføyet	beføyet
begava	begava
begavet	begavet
begeistra	begeistra
begjærlig	begjærlig
begrensa	begrensa
begrenset	begrenset
begrodd	begrodd
behagelig	behagelig
behanska	behanska
behansket	behansket
behendig	behendig
behengt	behengt
beherska	beherska
behersket	behersket
behjerta	behjerta
behjertet	behjertet
beholden	beholdent
behåra	behåra
behåret	behåret
behørig	behørig
behøvelig	behøvelig
beige	beige
bein	beint
beinet	beinet
beinete	beinete
beinfri	beinfritt
beinhard	beinhardt
beinig	beinig
beinkald	beinkaldt
beinkesam	beinkesamt
beinlaus	beinlaust
beinløs	beinløst
beinsam	beinsamt
beinskjør	beinskjørt
beinsom	beinsomt
beintfram	beintfram
beintfrem	beintfrem
beintøff	beintøft
beisefast	beisefast
beisk	beiskt
bekjent	bekjent
beklemt	beklemt
bekmørk	bekmørkt
beksvart	beksvart
bekvem	bekvemt
bekymra	bekymra
bekymret	bekymret
beleilig	beleilig
belest	belest
beleven	belevent
belgisk	belgisk
belgmørk	belgmørkt
beliva	beliva
belivende	belivende
belivet	belivet
belizisk	belizisk
belåten	belåtent
belærende	belærende
bemeldte	bemeldte
bemidla	bemidla
bemidlet	bemidlet
benaua	benaua
benauet	benauet
benet	benet
benete	benete
benevnt	benevnt
benfri	benfritt
bengalsk	bengalsk
benhard	benhardt
beninsk	beninsk
benløs	benløst
benskjør	benskjørt
bentfram	bentfram
bentfrem	bentfrem
benåda	benåda
benådet	benådet
berbersk	berbersk
beredt	beredt
beregnbar	beregnbart
bereist	bereist
bergensk	bergensk
bergfast	bergfast
berglendt	berglendt
berlinsk	berlinsk
berrsynt	berrsynt
berusa	berusa
beruset	beruset
berust	berust
berykta	berykta
beryktet	beryktet
berømt	berømt
besatt	besatt
besindig	besindig
besj	besj
besk	beskt
beskaffen	beskaffent
beskjemma	beskjemma
beslekta	beslekta
beslektet	beslektet
best	best
bestandig	bestandig
bestemt	bestemt
bestialsk	bestialsk
bestyrta	bestyrta
bestyrtet	bestyrtet
besvogra	besvogra
besvogret	besvogret
besværlig	besværlig
besådd	besådd
besøkende	besøkende
betagende	betagende
betakende	betakende
betalbar	betalbart
betatt	betatt
betenksom	betenksomt
betenkt	betenkt
betent	betent
